Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,13811527.0,12736639.0,17921406.0,19173733.0,17323351.0,21530410.0,19772050.0,22458549.0,18610014.0,24485286.0,22941773.0,19848577.0,24176467.0,24578334.0,27572888.0,25257854.0,27220806.0,25148222.0,23062271.0,27993817.0,29862680.0,28612569.0,28084484.0,28718466.0
Africa,1181513910.0,1215353202.0,1264937143.0,1327707358.0,1368727472.0,1428876229.0,1485758384.0,1457255097.0,1518234510.0,1546321104.0,1667890868.0,1689603004.0,1762228334.0,1830816612.0,1908533924.0,1925985353.0,1947489814.0,2033771853.0,2126038943.0,2133518940.0,2205511446.0,2250538042.0,2294207898.0,2252379239.0
Albania,5435581.0,5519840.0,5613244.0,5716665.0,5855444.0,5972510.0,6152443.0,6023784.0,6471557.0,6668160.0,7290033.0,7629637.0,7841550.0,7893943.0,7973569.0,8224301.0,8546697.0,8643266.0,8612554.0,8652024.0,8652502.0,8680574.0,8741522.0,8245940.0
Algeria,17650570.0,21618827.0,21566679.0,28993511.0,30720471.0,31304504.0,33231687.0,30426134.0,28899827.0,40466483.0,41944859.0,45960468.0,50047238.0,54160266.0,52436346.0,54944522.0,55553918.0,55864523.0,62072703.0,63999458.0,62741106.0,56867841.0,61164631.0,62657889.0
Americas,4010754908.0,4029719182.0,4037960081.0,4299056039.0,4509881315.0,4466936581.0,4576666248.0,4946534378.0,5192856764.0,5233034759.0,5363066495.0,5431311415.0,5398695882.0,5835704474.0,5856125060.0,5939113138.0,6133386673.0,6111189830.0,6031351082.0,6077698641.0,6182815573.0,6089088824.0,6072003068.0,6017158011.0
Angola,14824466.0,17743927.0,20848248.0,22544048.0,26218998.0,27798635.0,28593605.0,32310178.0,33880628.0,43062270.0,45994127.0,49319980.0,39026920.0,55867633.0,41728781.0,43461057.0,45370973.0,46040558.0,47757449.0,48718969.0,51530467.0,52778244.0,55640977.0,57444631.0
Antigua and Barbuda,40390.0,40765.0,40995.0,42953.0,44142.0,38388.0,40172.0,40330.0,41694.0,41379.0,36147.0,36673.0,36015.0,36307.0,36365.0,36257.0,35480.0,32624.0,30108.0,28861.0,28565.0,28429.0,29821.0,26879.0
Argentina,242678776.0,249430108.0,249411141.0,259102929.0,258072804.0,300320791.0,292816609.0,320346677.0,333049407.0,260374139.0,313875793.0,341771044.0,313505276.0,345053276.0,347806710.0,374692125.0,374853835.0,400108099.0,358389961.0,420384882.0,407483689.0,410258836.0,412126946.0,297299984.0
Armenia,3485726.0,4035008.0,4251363.0,4646169.0,5430435.0,5960724.0,5913287.0,6820736.0,6913599.0,6722144.0,5683181.0,6573016.0,7203030.0,7655267.0,8188086.0,8563431.0,7896051.0,7245198.0,6102008.0,5676362.0,5894950.0,5664633.0,5736825.0,5604234.0
Asia,6654678619.0,6764019217.0,6928735147.0,7104994248.0,7195390278.0,7403572373.0,7709329928.0,8174025690.0,8448686275.0,8362683844.0,8618157686.0,9168470761.0,9439325952.0,9643081204.0,9797158766.0,9934203917.0,9972956125.0,10192192787.0,10508129238.0,10680799886.0,10688566154.0,10990971216.0,11275623971.0,11149017589.0
Australia,225176042.0,203085579.0,216714751.0,180553393.0,230756513.0,221276106.0,228059524.0,175671587.0,185825528.0,202154868.0,200852527.0,205237606.0,218859244.0,207956537.0,219039402.0,218180144.0,219921696.0,259953781.0,218985073.0,196448007.0,183335855.0,247530610.0,258660763.0,266878674.0
Australia and New Zealand,269354755.0,249637389.0,265332988.0,230304303.0,282632885.0,272140303.0,280170379.0,229372025.0,239279121.0,258365274.0,258180007.0,263177774.0,282013840.0,272021984.0,289140124.0,289667117.0,289932939.0,328660865.0,289624639.0,267387320.0,254732290.0,317918389.0,326830587.0,322825929.0
Austria,31790816.0,32991799.0,33388634.0,30801147.0,34239671.0,33480356.0,31566879.0,32701716.0,36115183.0,34763933.0,33448653.0,37146406.0,33790174.0,34138201.0,38935681.0,33711666.0,37411622.0,35064616.0,33192945.0,33624289.0,34931890.0,35746517.0,35017609.0,29595266.0
Azerbaijan,10581773.0,12337367.0,13412154.0,13856737.0,14267548.0,15510783.0,15816802.0,16050934.0,16989585.0,18036652.0,16715470.0,18025899.0,18922892.0,19621981.0,18214431.0,19627270.0,20494267.0,21174919.0,22087983.0,23682376.0,23593373.0,24127082.0,24088952.0,22933492.0
Bahamas,266178.0,294476.0,256518.0,257402.0,270198.0,264395.0,287559.0,304224.0,302749.0,287788.0,341783.0,346323.0,345755.0,349110.0,361690.0,367470.0,367343.0,366931.0,365316.0,367798.0,368036.0,367462.0,368113.0,353994.0
Bahrain,155275.0,144102.0,148984.0,138817.0,122762.0,142754.0,145775.0,157688.0,162497.0,168020.0,183773.0,182290.0,183112.0,183039.0,188222.0,203046.0,219589.0,236152.0,232863.0,247956.0,240239.0,222369.0,231720.0,231510.0
Bangladesh,116808362.0,114178708.0,116130746.0,119533221.0,116476613.0,129128035.0,131417109.0,138486508.0,149809826.0,148570218.0,157852675.0,163716025.0,165223980.0,172720379.0,179436244.0,184354689.0,183492824.0,199432924.0,199008351.0,199840296.0,206201563.0,214325715.0,220090311.0,225576447.0
Barbados,1290439.0,1029303.0,1010774.0,909554.0,894106.0,1068542.0,869337.0,889848.0,791465.0,888973.0,682382.0,730549.0,678874.0,496469.0,469060.0,379773.0,309289.0,406091.0,450493.0,319268.0,312017.0,312783.0,337722.0,260729.0
Belarus,47132417.0,47175587.0,47223019.0,50618004.0,60698543.0,57622165.0,60576933.0,63127449.0,69957571.0,67398754.0,65420486.0,66303791.0,70011688.0,63409848.0,68218448.0,62586249.0,62546368.0,66146345.0,61305372.0,64826503.0,66302630.0,61407335.0,65014280.0,58954802.0
Belgium,48503453.0,45169907.0,48552255.0,47795531.0,49488317.0,47315009.0,45564694.0,47404152.0,44167408.0,47201004.0,46334955.0,49179151.0,46756449.0,47869745.0,51118802.0,48976113.0,46085889.0,53675519.0,48183063.0,51660042.0,50172955.0,49648090.0,50057314.0,42085484.0
Belize,3596196.0,3432619.0,3492013.0,3364953.0,3702364.0,3418502.0,3756720.0,3806592.0,3367263.0,3260165.0,3561475.0,2963326.0,3682926.0,3514613.0,3794198.0,3723467.0,4125933.0,4617420.0,4551009.0,4685571.0,4203448.0,4917002.0,4758527.0,3709457.0
Benin,13673362.0,14318157.0,16763409.0,16083904.0,16728137.0,15971023.0,14523506.0,14122262.0,17877010.0,19502949.0,19227813.0,20518432.0,21583271.0,23272716.0,24366379.0,21563181.0,24238604.0,25466891.0,26073809.0,28337966.0,27129603.0,28168321.0,28311811.0,29289655.0
Bhutan,505933.0,538956.0,519948.0,572543.0,701265.0,954871.0,982591.0,975204.0,846937.0,762754.0,784363.0,985209.0,874922.0,887203.0,874040.0,828393.0,995915.0,1025665.0,812359.0,987110.0,1015709.0,682315.0,604697.0,551107.0
Bolivia (Plurinational State of),21047194.0,21746713.0,24019106.0,25025141.0,25745538.0,26189770.0,28857553.0,29371843.0,30954984.0,35009296.0,31547973.0,32557724.0,36744931.0,39113591.0,38492246.0,39305882.0,39470960.0,40603218.0,45591729.0,45127874.0,45775632.0,48746504.0,46019449.0,47398621.0
Bosnia and Herzegovina,5371116.0,6068119.0,6531758.0,5448209.0,7531243.0,7386260.0,7449428.0,6889051.0,7826142.0,7950884.0,7112974.0,7146319.0,6302924.0,7491259.0,6512847.0,7206363.0,8592921.0,7096479.0,8800588.0,8367188.0,9231274.0,7508014.0,8173088.0,7321750.0
Botswana,644684.0,693320.0,688197.0,676322.0,692942.0,725031.0,740749.0,733849.0,769859.0,812286.0,940665.0,1015608.0,930975.0,897388.0,1003598.0,1058643.0,1059143.0,1020110.0,1202467.0,1130615.0,1350348.0,1318071.0,1484396.0,981921.0
Brazil,1127231433.0,1196107724.0,1255016279.0,1373380945.0,1423567738.0,1432551953.0,1564190119.0,1750237128.0,1977750035.0,2039871463.0,2146724064.0,2214795389.0,2186108680.0,2330815959.0,2285843721.0,2342663127.0,2330435806.0,2414722513.0,2362833561.0,2416380046.0,2464797107.0,2374427586.0,2424148512.0,2558663305.0
